volume1,volume2,volume3,volume4,volume5,returns1,returns2,returns3,returns4,returns5,sma1,sma2,sma3,sma4,sma5,lma1,lma2,lma3,lma4,lma5,rsi1,rsi2,rsi3,rsi4,rsi5,atr1,atr2,atr3,atr4,atr5,trades1,trades2,trades3,trades4,trades5,monday,roll,chicago,flag2,trend_boostDT,trend_boostDTprob,trend_TCdeep,trend_TCdeepprob,trend_NN,trend_NNprob,flag1,range_boostDT,range_boostDTprob,range_TCdeep,range_TCdeepprob,range_NN,range_NNprob
0,2,0,7,0,0,-0.000605877025501744,0,0,0,32.9769999999999,32.9819999999999,32.9869999999999,32.9919999999999,32.9969999999999,33.03175,33.0308333333333,33.02975,33.0286666666666,33.0275833333333,93.7704188633341,60.6465090369982,60.6465090369982,60.6465090369982,60.6465090369982,0,0.0200000000000031,0,0.00999999999999801,0.00999999999999801,0,2,0,2,0,0,0,0,notrend,notrend,0.0346827395260334,notrend,0.381832659244537,trend,0.785852193832397,range,range,0.974080801010132,range,0.717307388782501,norange,0.277540266513824
1,18,16,10,1,0,0.000520156058541943,0.000779727135021169,-0.000519750531450924,0,38.4280000000001,38.4390000000001,38.4500000000001,38.4580000000001,38.4610000000001,38.2735,38.2758333333333,38.2784166666667,38.28075,38.28325,58.1908374289233,66.3466787826232,75.2117856943732,61.9209428215042,61.9209428215042,0,0.0300000000000011,0.0300000000000011,0.0200000000000031,0,1,12,6,9,1,1,1,0,trend,trend,0.999692142009735,notrend,0.469346940517426,trend,0.78339421749115,norange,norange,0.000220447444007732,range,0.599327385425568,norange,0.456455081701279
2,4,1,3,3,0,0.000294074402942268,0.000293987948611907,0.000293901545098674,0.000881186721727989,33.9709999999998,33.9699999999998,33.9719999999999,33.9759999999998,33.9829999999998,34.0805833333332,34.0797499999999,34.0789999999999,34.0783333333332,34.0779166666666,57.7985141375051,60.9267613603662,64.1726813301669,67.4750476247852,75.6908804867888,0,0.00999999999999801,0.0100000000000051,0.00999999999999801,0.0300000000000011,2,3,1,3,2,0,0,0,notrend,notrend,0.462476253509521,notrend,0.230807736515999,notrend,0.404236257076263,range,range,0.568108201026917,range,0.754480183124542,range,0.708026647567749
446,892,1050,786,773,0.00126119325583396,0.0015113353002687,0.001006289393092,0.00125643941645093,0,39.6670000000002,39.6650000000002,39.6700000000002,39.6940000000002,39.7080000000002,39.5275,39.5285,39.5301666666667,39.5320833333333,39.5338333333333,52.8338458540059,64.4087556822807,70.3396745046533,76.3585251075812,76.3585251075812,0.0799999999999983,0.109999999999999,0.0700000000000003,0.0700000000000003,0.0600000000000023,190,319,324,305,311,0,1,1,trend,trend,0.931670129299164,notrend,0.377171158790588,trend,0.694782733917236,norange,norange,0.0664551556110382,norange,0.49239519238472,norange,0.405254513025284
87,114,56,195,129,0.000239664470889522,0.000239607045593448,-0.000239607045593448,0.000239607045593448,-0.000718993440200766,41.7040000000002,41.7110000000002,41.7180000000002,41.7270000000002,41.7270000000002,41.5709166666666,41.57375,41.5763333333333,41.5793333333333,41.58175,68.4351757268408,73.1410333459841,61.8677613750717,67.9124698239612,42.948905742033,0.00999999999999801,0.0200000000000031,0.0200000000000031,0.0200000000000031,0.0300000000000011,53,59,26,49,31,1,1,1,notrend,notrend,0.000697858689818531,notrend,0.123318858444691,notrend,0.0768719464540482,range,range,0.99958473443985,range,0.82451605796814,range,0.860890567302704
2,0,8,5,5,-0.000248292986998688,0,0.00049652433989289,0.000248169749381244,-0.000248169749381244,40.2900000000002,40.2880000000002,40.2870000000002,40.2880000000002,40.2870000000002,40.21325,40.2155833333333,40.2180833333333,40.2206666666667,40.2228333333333,24.9372285495094,24.9372285495093,55.5279990692108,64.3953308015924,51.777200057186,0.00999999999999801,0,0.019999999999996,0.00999999999999801,0.00999999999999801,2,0,4,1,1,0,1,0,notrend,notrend,0.00231015030294657,notrend,0.244535252451897,notrend,0.126677647233009,range,range,0.998529732227325,range,0.726480424404144,range,0.735336065292358
6,5,12,3,12,0.000581564424649184,-0.00116346726329786,-0.000873489646454395,-0.000582750599241955,0.000582750599241955,34.3519999999999,34.3569999999999,34.3579999999999,34.3529999999999,34.3509999999999,34.3534166666667,34.3524166666667,34.3512500000001,34.3500000000001,34.3490000000001,76.4132823575524,48.2459929305547,36.0609973912852,29.906546536832,42.0041343775461,0.0499999999999972,0.0399999999999991,0.0300000000000011,0.019999999999996,0.0300000000000011,6,5,7,3,8,0,0,0,notrend,notrend,0.181888267397881,notrend,0.302925497293472,trend,0.739302098751068,range,range,0.845872461795807,norange,0.226562097668648,norange,0.383533895015717
30,77,88,318,213,0.000244051251974131,-0.00146520172732778,0.00024434942088547,-0.00122234460886217,0.000489117153306573,40.9760000000003,40.9670000000003,40.9610000000003,40.9510000000003,40.9450000000003,40.98325,40.98425,40.9851666666667,40.9853333333334,40.9858333333334,48.8693662086646,27.5059593975675,33.4336743889271,22.2936461581107,33.1786286359406,0.0200000000000031,0.0700000000000003,0.0300000000000011,0.0700000000000003,0.0600000000000023,25,41,58,141,89,0,1,0,notrend,notrend,0.00178927776869386,notrend,0.216061249375343,notrend,0.155291199684143,range,range,0.99887752532959,range,0.791258931159973,range,0.867497742176056
27,57,41,252,22,-0.000248601617191202,0.000248601617191202,0,0.000497017902875374,-0.000745619520066576,40.2260000000002,40.2260000000002,40.2270000000002,40.2300000000002,40.2300000000002,39.9711666666667,39.974,39.9768333333333,39.97975,39.9825,52.5439370830423,62.6447438028948,62.6447438028947,77.1654381867921,45.0561283572485,0.029999999999994,0.0200000000000031,0.0200000000000031,0.0300000000000011,0.0300000000000011,6,16,15,73,11,0,1,0,notrend,notrend,0.115679360926151,notrend,0.19996277987957,notrend,0.108626030385494,range,range,0.905720114707947,range,0.750926971435547,range,0.790829956531525
71,193,108,58,76,0.000250783700374235,0.000250720823677497,-0.000501504524051732,-0.00025084660861463,0.000501630308988865,39.8560000000001,39.8690000000001,39.8750000000001,39.8750000000001,39.8840000000001,39.38125,39.3895833333334,39.3971666666667,39.4049166666667,39.4126666666667,59.7120996758807,62.091019243065,54.2592626144199,50.3761868400526,57.7647098694209,0.0799999999999983,0.0599999999999952,0.0799999999999983,0.0399999999999991,0.0300000000000011,46,92,45,31,32,0,1,1,trend,trend,0.999910175800323,trend,0.580206155776978,trend,0.659336924552917,norange,norange,6.00649182160851E-05,range,0.557176470756531,norange,0.315892577171326
